TDC UN Equity;Teradata Corp
DISCA UW Equity;Discovery Communications Inc
GOOG UW Equity;Google Inc
FSLR UW Equity;First Solar Inc
TRIP UW Equity;TripAdvisor Inc
CFN UN Equity;CareFusion Corp
LVLT UN Equity;Level 3 Communications Inc
FOSL UW Equity;Fossil Group Inc
MHK UN Equity;Mohawk Industries Inc
MNST UW Equity;Monster Beverage Corp
VRTX UW Equity;Vertex Pharmaceuticals Inc
FB UW Equity;Facebook Inc
URI UN Equity;United Rentals Inc
MNK UN Equity;Mallinckrodt PLC
ALXN UW Equity;Alexion Pharmaceuticals Inc
NWSA UW Equity;News Corp
KORS UN Equity;Michael Kors Holdings Ltd
ADS UN Equity;Alliance Data Systems Corp
DISCK UW Equity;Discovery Communications Inc
NAVI UW Equity;Navient Corp
CCI UN Equity;Crown Castle International Corp
